 time            vo1             vo2             vcmp            p1              p2             
 1.96730766e-07  9.03904558e-08  9.41385120e-03  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 2.93650830e-07  9.03904506e-08  9.41583496e-03  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.87490956e-07  9.03904426e-08  9.41980228e-03  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 8.75171209e-07  9.03904291e-08  9.42773606e-03  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 1.65053172e-06  9.03904042e-08  9.44360020e-03  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 2.10000000e-06  9.03903935e-08  9.45279438e-03  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 2.10581052e-06  9.03903941e-08  9.44669968e-03  1.49999753e+00  1.41284224e+00  0.00000000e+00 
 2.11743155e-06  9.03903952e-08  9.44943935e-03  1.49999745e+00  1.23852671e+00  0.00000000e+00 
 2.12775967e-06  9.03903950e-08  9.59535290e-03  1.49999679e+00  1.08360497e+00  0.00000000e+00 
 2.13585144e-06  9.03903953e-08  1.03286267e-02  1.49999550e+00  9.62228417e-01  0.00000000e+00 
 2.14312055e-06  9.03903942e-08  1.17602930e-02  1.49999555e+00  8.53191745e-01  0.00000000e+00 
 2.15161347e-06 -1.33736047e-01  1.44610344e-02  1.49999578e+00  7.25797936e-01  0.00000000e+00 
 2.16859931e-06 -1.32311175e-01  2.30101221e-02  1.49999622e+00  4.71010319e-01  0.00000000e+00 
 2.17774842e-06 -1.31359524e-01  2.87200205e-02  1.49999644e+00  3.33773641e-01  0.00000000e+00 
 2.19020896e-06 -1.31347811e-01  2.87902716e-02  1.49999666e+00  1.46865572e-01  0.00000000e+00 
 2.20000000e-06 -1.32460155e-01  2.21162958e-02  1.49999678e+00  0.00000000e+00  0.00000000e+00 
 2.20134510e-06 -1.32430922e-01  2.22916732e-02  1.49999959e+00  0.00000000e+00  0.00000000e+00 
 2.20403531e-06 -1.32374960e-01  2.26274386e-02  1.49999962e+00  0.00000000e+00  0.00000000e+00 
 2.20896370e-06 -1.32275786e-01  2.32224840e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 2.21882046e-06 -1.32089175e-01  2.43421463e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 2.23853398e-06 -1.31755078e-01  2.63466769e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 2.25000000e-06 -1.31581665e-01  2.73871408e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 2.25394271e-06 -1.31526079e-01  2.77204281e-02  1.49999961e+00  0.00000000e+00  5.91405775e-02 
 2.26182812e-06 -1.31418203e-01  2.83676692e-02  1.49999961e+00  0.00000000e+00  1.77421732e-01 
 2.27759894e-06 -1.31215932e-01  2.95813130e-02  1.49999961e+00  0.00000000e+00  4.13984042e-01 
 2.28263247e-06 -1.31155061e-01  2.99467011e-02  1.49999961e+00  0.00000000e+00  4.89487034e-01 
 2.29144115e-06 -1.31052359e-01  3.05629042e-02  1.49999961e+00  0.00000000e+00  6.21617271e-01 
 2.30119362e-06 -7.50010111e-01  6.62818997e-02  1.49999961e+00  0.00000000e+00  7.67904318e-01 
 2.31038555e-06 -7.49996050e-01  6.63071507e-02  1.49999961e+00  0.00000000e+00  9.05783324e-01 
 2.32010791e-06 -7.49999398e-01  6.63155266e-02  1.49999961e+00  0.00000000e+00  1.05161869e+00 
 2.33369515e-06 -7.49999341e-01  6.63309401e-02  1.49999961e+00  0.00000000e+00  1.25542724e+00 
 2.35000000e-06 -7.49999263e-01  6.63480976e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.35271745e-06 -7.49999249e-01  6.63507984e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.35815234e-06 -7.49999223e-01  6.63561157e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.36902213e-06 -7.49999170e-01  6.63663667e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.39076171e-06 -7.49999063e-01  6.63854930e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.43424087e-06 -7.49998844e-01  6.64192332e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.52119919e-06 -7.49998397e-01  6.64739846e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.69511582e-06 -7.49997484e-01  6.65535446e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 3.04294908e-06 -7.49995633e-01  6.66548792e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 3.59663374e-06 -7.49992667e-01  6.67456898e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 4.35000000e-06 -7.49988624e-01  6.68093285e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 4.36000000e-06 -7.49988570e-01  6.68097112e-02  1.49999961e+00  0.00000000e+00  1.35000000e+00 
 4.38000000e-06 -7.49988462e-01  6.68104706e-02  1.49999961e+00  0.00000000e+00  1.05000000e+00 
 4.38458333e-06 -7.49988438e-01  6.68106435e-02  1.49999961e+00  0.00000000e+00  9.81250000e-01 
 4.39260417e-06 -7.49988395e-01  6.68109448e-02  1.49999961e+00  0.00000000e+00  8.60937500e-01 
 4.40148437e-06 -1.24985088e-01  6.68242134e-02  1.49999961e+00  0.00000000e+00  7.27734375e-01 
 4.41924479e-06 -1.24979383e-01  6.68586503e-02  1.49999961e+00  0.00000000e+00  4.61328125e-01 
 4.45000000e-06 -1.24968645e-01  6.69231126e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 4.45355208e-06 -1.24967329e-01  6.69308956e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 4.46065625e-06 -1.24964752e-01  6.69464230e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 4.47486458e-06 -1.24959598e-01  6.69772938e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 4.50000000e-06 -1.24950600e-01  6.70312926e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 4.50191719e-06 -1.24575460e-01  6.92820164e-02  1.50000244e+00  2.87579217e-02  0.00000000e+00 
 4.50575158e-06 -1.23830765e-01  7.37504430e-02  1.50000251e+00  8.62737650e-02  0.00000000e+00 
 4.51342036e-06 -1.23600530e-01  7.51317185e-02  1.50000259e+00  2.01305452e-01  0.00000000e+00 
 4.51931379e-06 -1.29063397e-01  4.23544576e-02  1.50000268e+00  2.89706836e-01  0.00000000e+00 
 4.52349314e-06 -1.30722727e-01  3.23983719e-02  1.50000276e+00  3.52397151e-01  0.00000000e+00 
 4.52806214e-06 -1.31287757e-01  2.90081873e-02  1.50000285e+00  4.20932035e-01  0.00000000e+00 
 4.53465371e-06 -1.31974199e-01  2.48896132e-02  1.50000298e+00  5.19805612e-01  0.00000000e+00 
 4.54142524e-06 -1.32579717e-01  2.12564201e-02  1.50000313e+00  6.21378533e-01  0.00000000e+00 
 4.55118964e-06  5.18809272e-05  1.71913504e-02  1.50000335e+00  7.67844633e-01  0.00000000e+00 
 4.56346922e-06  5.18805595e-05  1.41647685e-02  1.50000350e+00  9.52038261e-01  0.00000000e+00 
 4.58278403e-06  5.18803338e-05  1.31782873e-02  1.50000199e+00  1.24176049e+00  0.00000000e+00 
 4.60000000e-06  5.18802634e-05  1.31746093e-02  1.50000109e+00  1.50000000e+00  0.00000000e+00 
 4.60095844e-06  5.18802629e-05  1.31688158e-02  1.49999955e+00  1.50000000e+00  0.00000000e+00 
 4.60287532e-06  5.18802619e-05  1.31688392e-02  1.49999952e+00  1.50000000e+00  0.00000000e+00 
 4.60670908e-06  5.18802600e-05  1.31689176e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.61437660e-06  5.18802560e-05  1.31690638e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.62971163e-06  5.18802481e-05  1.31693563e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.66038170e-06  5.18802324e-05  1.31699413e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.72172184e-06  5.18802009e-05  1.31711112e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.84440212e-06  5.18801378e-05  1.31734510e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 5.08976268e-06  5.18800118e-05  1.31781302e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 5.58048380e-06  5.18797597e-05  1.31874874e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 6.56192604e-06  5.18792553e-05  1.32061966e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 6.60000000e-06  5.18792358e-05  1.32069223e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 6.60060795e-06  5.18792355e-05  1.32009427e-02  1.49999758e+00  1.49088072e+00  0.00000000e+00 
 6.60182386e-06  5.18792348e-05  1.32008955e-02  1.49999751e+00  1.47264216e+00  0.00000000e+00 
 6.60425566e-06  5.18792336e-05  1.32008512e-02  1.49999752e+00  1.43616505e+00  0.00000000e+00 
 6.60911928e-06  5.18792311e-05  1.32007934e-02  1.49999750e+00  1.36321082e+00  0.00000000e+00 
 6.61884651e-06  5.18792261e-05  1.32059586e-02  1.49999742e+00  1.21730237e+00  0.00000000e+00 
 6.63424510e-06  5.18792182e-05  1.38708094e-02  1.49999601e+00  9.86323476e-01  0.00000000e+00 
 6.63803248e-06  5.18792162e-05  1.44299945e-02  1.49999555e+00  9.29512824e-01  0.00000000e+00 
 6.64466039e-06  5.18792128e-05  1.59219080e-02  1.49999564e+00  8.30094184e-01  0.00000000e+00 
 6.65199843e-06 -1.33065097e-01  1.83657332e-02  1.49999581e+00  7.20023546e-01  0.00000000e+00 
 6.66667452e-06 -1.31856851e-01  2.56151602e-02  1.49999618e+00  4.99882271e-01  0.00000000e+00 
 6.67543302e-06 -1.30945963e-01  3.10803732e-02  1.49999640e+00  3.68504736e-01  0.00000000e+00 
 6.68689160e-06 -1.30463241e-01  3.39767869e-02  1.49999661e+00  1.96625965e-01  0.00000000e+00 
 6.69529032e-06 -1.31279018e-01  2.90820048e-02  1.49999673e+00  7.06451455e-02  0.00000000e+00 
 6.70000000e-06 -1.31980567e-01  2.48728959e-02  1.49999678e+00  0.00000000e+00  0.00000000e+00 
 6.70095875e-06 -1.31957327e-01  2.50125406e-02  1.49999959e+00  0.00000000e+00  0.00000000e+00 
