 time            vo1             vo2             p1              p2             
 0.00000000e+00  6.99183911e-01  7.98933989e-01  0.00000000e+00  1.20000000e+00 
 1.00000000e-12  6.99183911e-01  7.98933989e-01  0.00000000e+00  1.18800000e+00 
 2.00000000e-12  6.99183911e-01  7.98933989e-01  0.00000000e+00  1.17600000e+00 
 4.00000000e-12  6.99183911e-01  7.98933989e-01  0.00000000e+00  1.15200000e+00 
 8.00000000e-12  6.99183911e-01  7.98933989e-01  0.00000000e+00  1.10400000e+00 
 1.60000000e-11  6.99183911e-01  7.98933989e-01  0.00000000e+00  1.00800000e+00 
 3.20000000e-11  6.99183911e-01  7.98933989e-01  0.00000000e+00  8.16000000e-01 
 3.64166667e-11  6.99183911e-01  7.98933989e-01  0.00000000e+00  7.63000000e-01 
 4.41458333e-11  6.99183911e-01  7.98933989e-01  0.00000000e+00  6.70250000e-01 
 5.27031250e-11  6.99183911e-01  7.98933989e-01  0.00000000e+00  5.67562500e-01 
 6.98177083e-11  6.99183911e-01  7.98933989e-01  0.00000000e+00  3.62187500e-01 
 1.00000000e-10  6.99183911e-01  7.98933989e-01  0.00000000e+00  0.00000000e+00 
 1.03422917e-10  6.99183911e-01  7.98933989e-01  0.00000000e+00  0.00000000e+00 
 1.10268750e-10  6.99183911e-01  7.98933989e-01  0.00000000e+00  0.00000000e+00 
 1.23960417e-10  6.99183911e-01  7.98933989e-01  0.00000000e+00  0.00000000e+00 
 1.51343750e-10  6.99183911e-01  7.98933989e-01  0.00000000e+00  0.00000000e+00 
 2.06110417e-10  6.99183910e-01  7.98933989e-01  0.00000000e+00  0.00000000e+00 
 3.15643750e-10  6.99183910e-01  7.98933988e-01  0.00000000e+00  0.00000000e+00 
 5.34710417e-10  6.99183909e-01  7.98933987e-01  0.00000000e+00  0.00000000e+00 
 9.72843750e-10  6.99183908e-01  7.98933984e-01  0.00000000e+00  0.00000000e+00 
 1.84911042e-09  6.99183905e-01  7.98933979e-01  0.00000000e+00  0.00000000e+00 
 3.60164375e-09  6.99183900e-01  7.98933969e-01  0.00000000e+00  0.00000000e+00 
 5.00000000e-09  6.99183895e-01  7.98933961e-01  0.00000000e+00  0.00000000e+00 
 5.01000000e-09  6.99183895e-01  7.98933961e-01  1.20000000e-01  0.00000000e+00 
 5.03000000e-09  6.99183895e-01  7.98933960e-01  3.60000000e-01  0.00000000e+00 
 5.03479167e-09  6.99183895e-01  7.98933960e-01  4.17500000e-01  0.00000000e+00 
 5.04317708e-09  6.99183895e-01  7.98933960e-01  5.18125000e-01  0.00000000e+00 
 5.05246094e-09  6.99183895e-01  7.98933960e-01  6.29531250e-01  0.00000000e+00 
 5.06001295e-09  6.99183895e-01  7.98933960e-01  7.20155455e-01  0.00000000e+00 
 5.06716409e-09  6.99183895e-01  7.98933960e-01  8.05969039e-01  0.00000000e+00 
 5.07671457e-09  6.99183895e-01  7.98933960e-01  9.20574825e-01  0.00000000e+00 
 5.08574320e-09  6.99183895e-01  7.98933960e-01  1.02891843e+00  0.00000000e+00 
 5.09340371e-09  6.99183895e-01  7.98933960e-01  1.12084456e+00  0.00000000e+00 
 5.10000000e-09  6.99183895e-01  7.98933960e-01  1.20000000e+00  0.00000000e+00 
 5.10082447e-09  6.99183895e-01  7.98933960e-01  1.20000000e+00  0.00000000e+00 
 5.10247341e-09  6.99183895e-01  7.98933960e-01  1.20000000e+00  0.00000000e+00 
 5.10577129e-09  6.99183895e-01  7.98933960e-01  1.20000000e+00  0.00000000e+00 
 5.10912859e-09  6.99183895e-01  7.98933960e-01  1.20000000e+00  0.00000000e+00 
 5.11533802e-09  6.99183895e-01  7.98933960e-01  1.20000000e+00  0.00000000e+00 
 5.12108843e-09  6.99183895e-01  7.98933959e-01  1.20000000e+00  0.00000000e+00 
 5.12733695e-09  6.99183895e-01  7.98933959e-01  1.20000000e+00  0.00000000e+00 
