 time            vcmp            p1              p2             
 2.10832433e-06  7.34251427e-01  1.37513511e+00  0.00000000e+00 
 2.11057774e-06  7.35615613e-01  1.34133383e+00  0.00000000e+00 
 2.11408563e-06  7.38028208e-01  1.28871552e+00  0.00000000e+00 
 2.11728282e-06  7.40682703e-01  1.24075763e+00  0.00000000e+00 
 2.11966577e-06  7.43161740e-01  1.20501346e+00  0.00000000e+00 
 2.12129998e-06  7.45305632e-01  1.18050025e+00  0.00000000e+00 
 2.12256360e-06  7.47372742e-01  1.16154605e+00  0.00000000e+00 
 2.12377518e-06  7.49860756e-01  1.14337236e+00  0.00000000e+00 
 2.12505424e-06  7.53247175e-01  1.12418633e+00  0.00000000e+00 
 2.12647904e-06  7.58268460e-01  1.10281436e+00  0.00000000e+00 
 2.12801317e-06  7.65588536e-01  1.07980239e+00  0.00000000e+00 
 2.12958856e-06  7.75645449e-01  1.05617156e+00  0.00000000e+00 
 2.13146094e-06  7.90988048e-01  1.02808589e+00  0.00000000e+00 
 2.13259616e-06  8.01385067e-01  1.01105767e+00  0.00000000e+00 
 2.13387367e-06  8.16073210e-01  9.91894996e-01  0.00000000e+00 
 2.13549745e-06  8.38928219e-01  9.67538182e-01  0.00000000e+00 
 2.13714636e-06  8.66120696e-01  9.42804557e-01  0.00000000e+00 
 2.14044418e-06  9.32111259e-01  8.93337308e-01  0.00000000e+00 
 2.14400711e-06  1.01827015e+00  8.39893320e-01  0.00000000e+00 
 2.14734646e-06  1.10465180e+00  7.89803133e-01  0.00000000e+00 
 2.14993892e-06  1.16679426e+00  7.50916257e-01  0.00000000e+00 
 2.15172572e-06  1.20410334e+00  7.24114274e-01  0.00000000e+00 
 2.15287127e-06  1.22517840e+00  7.06930942e-01  0.00000000e+00 
 2.15420143e-06  1.24742139e+00  6.86978607e-01  0.00000000e+00 
 2.15588237e-06  1.27270785e+00  6.61764523e-01  0.00000000e+00 
 2.15790645e-06  1.30016950e+00  6.31403189e-01  0.00000000e+00 
 2.16092110e-06  1.33863076e+00  5.86183499e-01  0.00000000e+00 
 2.16346025e-06  1.37288865e+00  5.48096272e-01  0.00000000e+00 
 2.16473244e-06  1.39114693e+00  5.29013409e-01  0.00000000e+00 
 2.16557405e-06  1.39859000e+00  5.16389242e-01  0.00000000e+00 
 2.16658774e-06  1.39973511e+00  5.01183876e-01  0.00000000e+00 
 2.16697150e-06  1.39988967e+00  4.95427450e-01  0.00000000e+00 
 2.16761058e-06  1.40032445e+00  4.85841369e-01  0.00000000e+00 
 2.16812614e-06  1.40069332e+00  4.78107966e-01  0.00000000e+00 
 2.16883661e-06  1.40118729e+00  4.67450811e-01  0.00000000e+00 
 2.16995283e-06  1.40193921e+00  4.50707588e-01  0.00000000e+00 
 2.17218526e-06  1.40336584e+00  4.17221141e-01  0.00000000e+00 
 2.17475029e-06  1.40488756e+00  3.78745643e-01  0.00000000e+00 
 2.17872915e-06  1.40702717e+00  3.19062704e-01  0.00000000e+00 
 2.18402263e-06  1.40951875e+00  2.39660480e-01  0.00000000e+00 
